"Title","Date","Rating","Content"
"In June 1994, Disney unveiled what would become one of its most beloved animated titles, The Lion King.","10 June 2018","10/10","From the stealthy array of talent selected to perform the voices, including such deep-tone stalwarts as James Earl Jones and Jeremy Irons, one almost expects a tragedy in the Shakespearean tradition. And, in certain aspects, The Lion King does fit this bill. Instead of the house of Hanover or Stuart, the drama centers on the reign of the mighty lion Mufasa (Jones), the king of a perfectly balanced African kingdom of animals who thrive in stunning abundance. A beneficent monarch, Mufasa, raises his young male cub, Simba (Jonathan Taylor Thomas, then Matthew Broderick as an adult) to know that ""we are all connected in the great circle of life.""But, even in this teeming ecosystem, there is rancor; Mufasa's avaricious younger brother, the dark lion Scar (Irons), plots to become king. He orchestrates a bloody internecine intrigue, killing Mufasa and sending the young Simba into exile in the wilderness.Essentially, The Lion King is a coming-of-age story as the young Simba grows and matures to a point where he is ready to reclaim his birthright and, more importantly, carry on the harmonious work of his father. While weighty in theme, and propelled by several remarkable moral lessons, The Lion King's screenplay (by Irene Mecchi, Jonathan Roberts and Linda Woolverton) bursts along at a spectacular dramatic gait, nourished with light humor, tending romance and frisky escapades.Directors Roger Allen and Rob Minkoff, respectful of both the story's epic grandeur and personal power, have fashioned a radiantly multidimensional film.The crowning glories of The Lion King must be bestowed upon the legions of animators who contributed to its majestic, playful and glowing look. Composer Hans Zimmer's throbbing, percussive musical score also is a highlight, while the songs of Tim Rice and Elton John not only propel the plot but add cheerful zest to the splendid terrain of The Lion King. - Duane Byrge"
"Very good movie; Very good story; SIMBA OWNS","3 September 2006","10/10","Disney made another solid A in cinemas everywhere around the world in 1994 with ""The Lion King,"" a very nice animated film.It is about Simba, a young lion whose father was Mufasa, the original king of the Pride Lands. That opening scene where Rafiki broke open the gourd, made a mark on Simba's head with the juice and dust and lifted him towards the sun from Pride Rock is the most recognizable scene of the movie, because that's how it all began. As Simba had grown up, he had to learn about his issues in life, try to stay away from trouble (that scene where Mufasa and Simba had a long talk ""SIMBA, I AM VERY DISAPPOINTED IN YOU, etc."" TOTALLY taught Simba a lesson; after that was the whole ""Look at the stars"" thing), and later, as a wildebeest stampede, started by Scar, killed Simba's father, now Simba had to grow up all alone and try to figure this whole thing out all by himself.Later, Simba was lost in the desert with vultures and stuff, and here, enter Timon and Pumbaa. This recognizable phrase, Hakuna Matata, started to change Simba's life, as well as moviegoers', forever! Then we see Simba, Pumbaa, and Timon (with his funny walk) walk across the log in the night, with Simba becoming an adult! Simba then had fallen in love with Nala, and later on, when Simba was worried, Rafiki had come to him, told Simba to look in the water, and Simba decided to return to Pride Rock to become king.Pride Rock was a bad wasteland; how sad was that. Suddenly, Simba realized that Scar killed Mufasa, and so, they battled on Pride Rock with a fire below!!!!! Simba won, and all was restored, and that beginning scene? This time, with Simba and Nala, we see it again, and thus ends the movie.""The Lion King"" is a terrific film. It had memorable scenes, good lessons, and nothing but Disney Magic. I've seen this in the movies in '94 and the re-release in '95, we had the video for some time, and this played on the Old Disney Channel in the late 90s. Go watch it; I think your life will change forever.10 out of 10"
"it was a awesome movie !","29 May 2016","8/10","great movie i v ever seen ! and it I inspirational too ... love it <3 ;) the story is => This retelling of ""The Lion King"" is conveyed from the perspective of market Timon (Nathan Lane) and warthog Pumbaa (Ernie Sabella) and shows how the pair became friends. When Timon leaves his colony because he doesn't fit in, he meets the lonely Pumbaa. Together Timon and Pumbaa search for a new home, having adventures along the way and eventually meeting up with lion prince Simba (Matthew Broderick), who is in exile from his home and must challenge the evil Scar for the title of Lion King. really i enjoyed the movie very much and its a impressive movie also <3 i will never forgot these memories Most interest thing my nieces fab movie I lion king The Lion King was released on June 15, 1994, to a positive reaction from critics, who praised the film for its music, story and animation; it finished its run as the highest-grossing release of 1994. Following a 3D re-release in 2011, with earnings of over US $968 million worldwide as of 2011, the film is the highest- grossing hand-drawn animated film in history, the highest-grossing 2D animated film in the United States, the sixth highest-grossing animated film of all time, and the 29th-highest-grossing feature film of all time. The Lion King garnered two Academy Awards for its achievement in music and the Golden Globe Award for Best Motion Picture – Musical or Comedy. The film has led to many derived works, such as a Broadway adaptation; two direct-to-video follow-ups—the sequel The Lion King II: Simba's Pride (1998) and the prequel/parallel The Lion King 1½ (2004)—and two television series, Timon and Pumbaa and The Lion Guard.The Lion King is a 1994 American animated epic musical film produced by Walt Disney Feature Animation and released by Walt Disney Pictures. It is the 32nd animated feature in the Walt Disney Animated Classics series. The story takes place in a kingdom of lions in Africa, and was influenced by William Shakespeare's Hamlet. The film was produced during a period known as the Disney Renaissance. The Lion King was directed by Roger Allers and Rob Minkoff, produced by Don Hahn, and has a screenplay credited to Irene Mecchi, Jonathan Roberts and Linda Woolverton. Its original songs were written by composer Elton John and lyricist Tim Rice, and original scores were written by Hans Zimmer. The film features an ensemble voice cast that includes Matthew Broderick, James Earl Jones, Jeremy Irons, Jonathan Taylor Thomas, Moira Kelly, Nathan Lane, Ernie Sabella, Rowan Atkinson, Robert Guillaume, Madge Sinclair, Whoopi Goldberg, Cheech Marin, and Jim Cummings.The Lion King tells the story of Simba, a young lion who is to succeed his father, Mufasa, as king; however, after Simba's uncle Scar murders Mufasa, Simba is manipulated into thinking he was responsible and flees into exile in shame and despair. Upon maturation living with two wastrels, Simba is given some valuable perspective from his childhood friend, Nala, and his shaman, Rafiki, before returning to challenge Scar to end his tyranny.Development of The Lion King began in 1988 during a meeting between Jeffrey Katzenberg, Roy E. Disney and Peter Schneider while promoting Oliver & Company in Europe. Thomas Disch wrote a film treatment, and Woolverton developed the first scripts while George Scribner was signed on as director, being later joined by Allers. Production began in 1991 concurrently with Pocahontas, which wound up attracting most of Disney's top animators. Some time after the staff traveled to Hell's Gate National Park in Kenya to research on the film's setting and animals, Scribner left production disagreeing with the decision to turn the film into a musical, and was replaced by Minkoff. When Hahn joined the project, he was dissatisfied with the script and the story was promptly rewritten. Nearly 20 minutes of animation sequences were produced at Disney-MGM Studios in Florida. Computer animation was also used in several scenes, most notably in the wildebeest stampede sequence."
"It's fun, sad, and very funny","28 March 2021","10/10","I love this movie, The original lion king was a classic unlike its live action counter part."
"i love this movie","31 March 2015","10/10","Honestly I have a cousin with a mental disorder who would watch this movie over and over and at that time my mother was pregnant with me and ever since i was born i grew up watching both The Lion King and Lion King 2 and i'm 16 almost 17 and i still watch this movie like a thousand times. I love how they show us many different morals in life in a unique way; like when Mufasa explains the circle of life to Simba and how we are all one. Also when Mufasa explains to Simba that There will be a time where he has to leave (death) and Simba would have to take over. Mufasa also shows that it takes great responsibility to be King and there are moments where even the brave get scared. It also shows that when we're young we get carried away with growing up and we want to change things when we grow up but when we get older then we realize the purpose on why it was the way it is. Finally teaching running away from your problems isn't the solution because it will catch up to you (when Nala goes to look for food in the oasis where Simba had been living since he ran away)"
"As Good As It Gets!","8 April 2015","7/10","This movie truly is a classic and one of the best films I have ever seen, even after 21 years since its release. Timon and Pumbaa are hilarious and so is Rafiki the baboon.The story of growing up between Simba and Mufasa is especially touching and can teach a lot to us today. And of course, the jealousy and betrayal of Scar are themes that echo real life.And, of course, the fact that Simba and Nala have their own cub at the end is great. This movie has a great voice cast, awesome animation, a great storyline, and as with all of the early to mid 90s Disney films, an absolutely perfect soundtrack.Truly deserving of its tag as Disney's best film until Frozen, it will always be a classic to me."
"A true masterpiece! Of ""royal"" splendour","18 August 2011","10/10","It is everyday that you get a film. However, it is not everyday that you get a film that is original and inspirational. The Lion King is a perfect example of that for it's a masterpiece that I guarantee will entertain people of all ages! The plot is pretty straightforward, but I think it has creativity in every way. It follows Simba, a young lion cub who is destined to become the new king of the African Savannah, after his father, Mufasa. However, Mufasa's jealous brother, Scar wishes to claim the throne for himself and intends to kill both Mufasa and Simba, with the help of a dastardly yet comical pack of hyenas. Going into self-exile when told that he is responsible for his father's death by a planned wildebeest stampede (we all know who really did it, don't we?), Simba grows up while befriending the famous duo, Timon and Pumbaa, then is eventually persuaded to defeat his uncle Scar and become the rightful king. A plot such as this is so compelling, it is uncanny. As for the characters, each and every one of them is brilliantly made, and the voice actors are well chosen, my personal favourites being James Earl Jones as the voice of Mufasa, Whoopi Goldberg (well known for her role in Sister Act) as the lead hyena Shenzi and the fabulous Rowan Atkinson as Zazu, a hornbill and the king's majordomo. And let's not forget Nathan Lane as Timon and Jeremy Irons as Scar! The rest of the film is equally fantastic. The main reason I love TLK is that its characters are animals, in the African Savannah (I am a big fan of African wildlife)! For those who have not seen The Lion King, watch it! Now! I promise you will praise the film for all it's worth (made even better with its unique and epic soundtrack) and you will not regret watching it. As a conclusion, I give The Lion King a 10 and recommend it highly."
"Still Pretty Good","19 September 2021","7/10","Watching this movie again ever since I was a child was quite a nostalgic experience for me.I always loved this movies soundtrack, the songs and hilarious comedy that Nathan Lane and Ernie Sabella performance provided for Timon and Pumbaa.So I'll always have a soft spot for this movie as it brings me back to when I was a kid and singing Hakuna Matata. However, if I'm being honest with myself, I don't think this movie is incredible as others say it is in my opinion of course. However I do understand the praise and why so many people still talk highly about this movie.Personally, I do think the story is okay (Not amazing) and some of the characters are just not interesting to me like Scar. Its not something that really connects to me as an adult compared to when I was a kid however its it still pretty good movie and I do recommend it if you haven't seen it.The songs are bangers tho.7/10."
"Long live the King","25 December 2006","3/10","This movie often reminds me of my childhood. The old times, then everything around was new and unfamiliar. And now I clearly remember, how I first saw it on VHS and was really impressed with whole magic Disney had created. Even today I think very well of this movie and recommend it to my friends, no matter how old they are. Few days ago I watched this movie again with my friends, although it was digitally remastered. Sure thing I wanted to see the classic version but nevertheless I enjoyed it very much. And so did my friends, They also agreed with me, what nowadays movies can't compare with old Disney's classics and I hope, that people won't forget them. It would be a great fun if all these characters as Simba from my long beloved Liong Kinng or Little Marmaid Ariel once again would be popular and famous as they were long ago."
"One of the Great Disney Films of the Early 1990s","20 November 2014","10/10","Tricked into thinking that he caused the death of his own father (James Earl Jones), a young lion cub (Jonathan Taylor Thomas) flees and abandons his destiny as the future king.Disney's strongest period in recent history was the late 1980s and early 1990s. They consistently released hits: ""Little Mermaid"", ""Aladdin"", ""Beauty and the Beast"". The princesses from these films have taken their place alongside the classics (Snow White and Cinderella). Until ""Frozen"" twenty years later, this success would not be repeated.""The Lion King"" came at the end of this cycle, and did not feature a princess (at least not in human form). But it is still a great tale of loss, redemption, triumph. Many would place it among the top three Disney cartoons ever made."
"Self-satisfied nonsense","5 September 2014","9/10","All credit where it's due, on a technical level, THE LION KING is a very well put-together movie. The colors are vivid, the character's movements are fluid, and it's just a very pretty movie to look at. I give this movie a bad rap all the time, but even I have to admit this. My problem is that it's been unbelievably overblown for twenty years. Disney marketing got it into their heads that this is some sort of high prestige experience; bigger than all their other animated fluff, and warranting of blind praise from everyone. It's impenetrable for me because I haven't been able to listen to the soundtrack for two decades (and the movie's big on its music). 1994 radio was saturated with both the Elton John songs and the Simba numbers, and I haven't been able to hear any of it again since. For a musical, that's kind of a deal- breaker.Story-wise, it definitely works better when you're a kid. The characters aren't obnoxious and Simba's reckoning isn't shallow. But it's just such nauseating material. The whole thing's built on pomp and spectacle, but there's nothing underneath. 3/10"
"Greatest animated movie ever made, maybe even the greatest movie of all time","4 March 2021","10/10","The Lion King is an absolute delight to watch. I feel like it's the best movie ever made by Disney, and one of the best movies ever made in general. It beautifully portrays Hamlet in a funny and charming way and is told with some of the most beautiful hand-drawn animation ever produced. It explores the themes of self-identity, grief and honour in a beautiful and emotionally-destructive way. The characters all do what they're supposed to do without being too annoying or bland. Scar is an intimidating and terrifying villain who really packs a punch. The songs are all outstanding, my personal favorites being ""Hakuna Matata"" and ""Be Prepared"". It has some the most gorgeous score I've ever heard in a movie which makes the emotional scenes even more sad to watch, to the point where I'm just bawling my eyes out in a little ball on the floor. It's an important movie that everyone in their lifetime should watch, and I really mean it."
"A masterpiece","10 February 2014","NA","One of the most famous and beautiful Disney's movie. It's a perfect mixture of friendship, family, honor, reputation, hope and justice. Perfect for everyone, not just for children. I believe that each of us has cried in the scene where Simba's father is killed by Scar, and everyone rejoiced at the end of the movie when Simba gets justice. Each of us also laughed in every scene with Timon and Pumba. Two very different animals but this does not prevent them from being friends. One of the best lessons for life: Hakuna Matata, no worries.In my opinion the best Disney song of all time: It teaches us not to take everything too seriously and be free."
"""The Lion King""- An epic animated movie","18 June 2017","NA","The Disney's ""The Lion King"" is an animated musical film directed by Roger Allers and Rob Minkoff and produced by Dan Hahn in 1994. This movie was basically an inspiration from William Shakespeare's Hamlet. The Lion King, in my opinion, is an epic movie with a full package of adventures in life. It is a movie filled with happiness, love, family, emotions, lessons etc. The movie is generally based on the subject or theme 'Authority'. In the beginning introduction song, we can see that the entire forest bows down to one true dedicated King, Mufasa the Lion, as we all know, Lion is the King of the Jungle. The movie tells us the story of a King, Mufasa and his son, Simba who is the next king to be. After an unfortunate incident happened to Mufasa, Scar his brother guilty Simba into thinking that he was the reason for the incident. This makes Simba leave his kingdom and run away from his family. The journey of Simba succeeding his father's pride land is the movie, 'The Lion King'. 'The Lion King' is known as the Disney's best ever animation film and I couldn't agree more. To begin with, the voices done for every character suits their personality. The king, Mufasa's voice describe him as a king- strong and ruling, his brother and/or the evil uncle's voice has the grudge, just as his character in the movie. Zazu the bird's character is more toward the funny side so does his voice. The softness and humor in Rafiki's voice represented his character as a caring, fun-filled well-wisher. The roles that each character of the movie represents have done a great job in acting. Since it is a musical film, the voices have higher expectations and I believe that this movie has met with all the expectations. When it comes to animation, it is important to make everything seem so perfect, otherwise, it is easy to point out the mistakes. In that case, this movie has done its best job. I believe that no matter how great the story is, it wouldn't attract or reach the audience if the cinematography is a failure. We all have witnessed the grand success of the film. I would like to talk about the two techniques that I admired about the movie: camera angle, camera movement of the film. Camera angles were extraordinary in this movie. Starting from introduction scene, where Rafiki lifts Simba to show the world that the future king has been born, the angle was so perfect that along with the song, it definitely gives a goosebumps moment. The camera movement throughout the movie was an eye treat to the audience. Especially during the songs, the flow in the movement will definitely make everyone want to dance. Overall, 'The Lion King' has met with all the requirements for a fun-filled entertainment package."
"An American Classic.","17 August 2009","10/10","The Lion King has always served as my all time favorite movie. It captures the childhood memories you long for as you continuously grow older. It's simplistic ability to entertain and provoke joyful feelings is something rarely found in movies currently being made. The lesson of believing in yourself, and overcoming struggles is important for kids to learn. It teaches one about the ability to trust, but also to know that this world is not perfect. The characters will leave your stomach hurting from the laughter produced, and the songs will have you singing. The animation is nothing to be overlooked, and its rather perfect nature will leave you in awe. There is no contest that this movie will forever remain a classic. A competitor for its place in the homes of America is almost impossible to find."
"An absolute classic","8 July 2009","10/10","This was Disney's B-movie production. The studio was convinced that the following year's ""Pocahontas"" was going to rake in the cash and the praise. However, armed with a story lifted from ""Hamlet"" and some of the all-time great Disney songs, ""The Lion King"" became the last great film to come out of Disney's hand-drawn animations, and the last in a golden era which included ""Aladdin"" and ""Beauty and the Beast"". The young generation who grew up with this film have a level of affection for it that very few films have achieved. Their parents have a similar fondness for it. Now, some years on, that young generation can appreciate it as a family film once more with their children, but can also appreciate the superior level of craft which is in this film.From the breathtaking opening, the power of the songs is immediately apparent. ""The Circle of Life"" with the sun breaking across the plain is striking and iconic, for parent and child alike. The energy of ""I just can't wait to be king"" is contrasted with the scheming moodiness of ""Be Prepared"". ""Hakuna Matata"" is still adored and is delightfully witty (it has the most intelligent fart joke ever) and ""Can you feel the love tonight?"" is up there with ""Beauty and the Beast"" in the pantheon of great Disney love songs.The songs complement a story which is simple, effective and daring. Like many of the best Disney films, there is darkness here that the young viewer can deal with but gives the film added depth. The death of Mufasa can still bring the butchest teenager to tears. However, there is also a wealth of humour which ranges from intelligent and witty to absurd and hilarious (""What do you want me to do? Dress in drag and do the hula?""). Also, this is a proper story. The trials of Simba are thoroughly engaging and the world he finds himself in is richly populated by entertaining characters. The stand outs are the comic Timon and Pumbaa and Jeremy Irons's deliciously voiced villain, Scar (""I'm surrounded by idiots."").The film is also a fine example of technical class. It looks stunning – one of Disney's most beautifully drawn films – has a fine score by Hans Zimmer to accompany the award winning songs and was a major step forward in CG effects – the thrilling stampede sequence being almost entirely created in computers.This was a generation defining film, far superior and far more successful than ""Pocahontas"" (the VHS was the highest seller of all time). It was and is adored by millions. It has been somewhat forgotten, particularly after the advent of CG animation two years later with the magnificent ""Toy Story"". This film, however, deserves better as it is an undoubted classic to be enjoyed by young and old alike."
"Disney Classic.","19 March 2018","10/10","This movie has everything a great film needs, loveable protagonists, and evil villain, perfect music (won the oscar), a great message, great comedy, emotion and truly ground breaking animation. Iv loved this movie almost my entire life."
"The Greatest Disney Film Of All Time.","5 October 2013","7/10","One of the greatest films ever made, The Lion King is the very pinnacle of Disney's Renaissance Era that didn't just mark a creative high for the legendary animation studio but remains their most impressive work to date. An astounding masterpiece for all ages that's perfectly balanced in the smallest of aspects & still hasn't aged a day, this is without a doubt the greatest Disney film of all time.Set in the Pride Lands of Africa, The Lion King tells the story of a young lion prince who flees into exile after the death of his father when his uncle tricks him into believing that he is the one responsible for the king's demise. Growing up with two outcasts & embracing their carefree attitude, he is ultimately forced to confront his past after a chance encounter with an old friend & decides to return to his homeland.Directed by Roger Allers & Rob Minkoff, the film opens on such a grand note that its prologue alone is much better than most features turn out to be in their entire runtime. The whole story has an epic feel to it despite its grounded simplicity, the plot unfolds like a soothing breeze, the themes are handled with care, entertainment is top-notch and its carefully carved out characters add even more richness to the story.Each frame of its beautifully rendered animation is a work of spellbinding craftsmanship. Characters are brilliantly sketched too & do manage to express emotions amazingly well. Cinematography makes expert use of colour palettes & vibrant use of camera. Editing provides a frenetic pace to the whole narrative & is at its best during the musical numbers, while CGI is seamlessly integrated into its hand-drawn imagery.Although nearly every character in the picture has a well-defined arc, what makes them so much fun is the pitch-perfect voice cast that infuses new life into these characters & provide them their very own souls. James Earl Jones brings a king-like imposing quality to Mufasa, Matthew Broderick does well as Simba, Jeremy Irons is thrilling as Scar while both Nathan Lane & Ernie Sabella steal the show as Timon & Pumbaa with their impeccable timing & perfect chemistry.And last but not the least, I'd like to talk about its magnificent score. Composed by Hans Zimmer who was just starting out back then, the exquisitely arranged & masterfully orchestrated score elevates what was already an incredibly fascinating tale to such a grandeur level of epicness that even today, it remains the finest use of music in any animation feature out there. And further strengthening this aspect are catchy songs written by Tim Rice & Elton John.On an overall scale, The Lion King is an extraordinary blend of a highly gripping story, deftly written screenplay, state-of-the-art animation, cleverly drawn characters voiced by wisely chosen cast, terrific use of humour, skillful camera-work, tight editing as well as an outstanding score plus sensational songs, all of which work in seamless harmony in order to set an entirely new benchmark for its medium & effortlessly succeed.An emotionally stirring adventure that's full of heart, passion & creativity from start to finish, The Lion King is an unabashedly hilarious, occasionally melancholic, extremely intimate, thoroughly enjoyable, delightfully engaging, intensely thrilling, wildly entertaining & immensely satisfying fable about life, death, identity, responsibility & resurrection that borrows from William Shakespeare's Hamlet yet is able to carve out its very own identity before it is finished.Marking the last great high for Disney's Renaissance Era that came crashing down soon after the advent of Pixar Animation Studios, The Lion King is a work of cinematic perfection that still stands tall & remains unblemished by the test of time and, for the epic this timeless classic is in every sense of the word, will continue to do so comfortably for a very foreseeable future. Absolutely worth your time & money, the crown jewel of Walt Disney Animation comes one hundred percent recommended."
"The Lion King is very good","31 July 2018","10/10","I just love this movie since I was kid in early 2000's.
So I have love about Bloopers, YTPs and more about it.That's all I can say."
"Excellent! Highly recommended! Wonderful for all ages!","4 January 2016","7/10","This movie will always bring tears to my eyes, no matter how many times I see it! It s a great movie, as for children and as for adults! I will not get tired to re-watch it. I have seen it like six times and still not bored. The moment when Simba's father, Mufasa, died, i could not stop from crying. The other movies, the following ones were great, but not compared to this one. This movie contains valuable lesson upon life too. If you have not seen this movie by now, you are lucky because it is a great movie and the quality time you will be spending for the first time you watch this tear jerking movie will be awesome. I took my 8 year old daughter to see the show. It was amazing. The cast was excellent. The way the theater transformed after different scenes was breathtaking. The entire story was captivating. We never felt bored or lost. From the opening to closing scene we were at the edge of our seats. My gosh I never experienced anything like this before. I would encourage every and anyone to see this show. It was such an amazing experience that my daughter & I decided to see at least 2 Broadway shows a year. The Lion King will always be special to us. Everyone involved in this spectacular production should be proud."
"2nd Part of The Film Where Simba Takes Revenge Could Be a Little Slow","24 July 2022","2/10","The plot of the movie is great. There is no doubt about this. An evil uncle betrayed his brother and become the king. Great plot. But our problems start from the 2nd part. They could show the brutality of Scar. How he has turned this beautiful pride forest into a hell. Also, the Simba we know is a weak lion. They could show us how our little Simba become so strong. They show the transition of Simba just in one song. This is not enough. So, the plot is great but the 2nd part is finished in a rush."
"I'm in the minority - I didn't like it","16 January 2006","10/10","'The Lion King' is a Disney animation about a lion cub named Simba who runs away from his responsibility after thinking that he is to blame for his father's fate. Along the way, Simba meets Timon and Pumba, the comical sidekicks. It's a sad film, but it is a film about life, and it is realistic in that sense. However, 'The Lion King' is probably my least favourite Disney animation. Although Timon and Pumba are supposed to provide the comic relief, I found the couple very annoying. Yes, this film had huge success in the 1990s, but I was never impressed with it. Most people seem to really enjoy this film, so I am probably in the majority for giving it a low rating, but I just did not think it was that good of a film."
"The only true king","24 September 2019","10/10","For me the original is always better than the reboot. But this has such an emotional impact. Great."
"Disney's best","29 January 2017","10/10","The Lion King has everything: Hans Zimmer's music, the delicious animation and the wonderful drawings, the superb acting with Mufasa on top and of course the great story this movie tells: it's about life and its stages, the hardness of loss and the difficulty in changing, it's about not running away from your problems, about believing in yourself, about evil, friendship, justice and love...In the 90s Disney movies got an unusual balance: the stories weren't yet the postmodern crap we have today and they had overcome the rancidity from before. The technology was still paper and pencil and the brand new technologies were just used to create epic scenes from scratch. It's not strange that from The little Mermaid (1989) to Tarzan (1999) it was Disney's second youth and just at the half of the decade they peaked with The Lion King (1994).If in 2017 we see Bambi (1942) as a timeless classic I'm sure that in 2070 people will see The Lion King the same way. And that is huge"
"Best American movie of all time","9 December 2015","10/10","There are too many good things to say about this movie. Even though it is technically an original story by Disney, I personally consider it the definitive version of Shakespeare's Hamlet. And they don't even sugar coat it that much. Not like in Bambi, where they just hint at the mother dying. Here you actually SEE the body. The characters are all likable, all the way down to the two best, Timon and Pumbaa. As a kid, I always found them incredibly funny. The villain is probably for me the best Disney has ever done as well. Scar really has that clever acting of Jeremy Irons and his interaction with James Earl Jones is extremely believable. And I real like the clever message it's sending through the scene with Rafiki and Simba. ""The past can hurt. But the way I see it you can either run from it or... learn from it."" The songs are all memorable, even down to my favorite ""Circle of Life"" and the animation is a brilliant combination of traditional with a little CG thrown here or there. God bless this movie. It is nothing short of an epic masterpiece."
"Heart Warming movie for all ages.","13 March 2018","10/10","""The Lion King"" is a classic movie that can be loved by all genders and age demographics. It's makes you laugh, cry, and want to sing along. The animations are just a stepping stone into the amazing movie magic that we see today on the big screen. Truly a movie that will be a favorite for decades to come."
"great film!","3 February 2008","10/10","The Lion King is a great film. Its lavish landscapes will be able to capture you more. The message is very positive. There is a little bit of Hamlet in the plot. Previous films were routine love stories where boy and girl meet, know each other, fall in love and stay together in the very end. This film is much more than that. Simba is a young prince and his father is the King, who is respected and loved by all. The prince is next in line to the throne. He is innocent and naive and eagerly wants to grow up and take his place as King. Scar, king's evil extremely jealous brother, wants to be King himself, and he is ready to go to any means to get what he wants. Simba, along with his best friend Nala, is having a happy childhood - until one fateful day, where his father is cruelly killed by Scar, right in front of Simba's own eyes, hurting him for life. When Scar tricks Simba into believing that he killed his own beloved dad, Simba runs away, far away, never to return. He meets Timon and Pumbaa, who teach him some important lessons: Life is worth living. And Hakuna Matata - no worries. Simba grows from a small cub with a painful past, into a handsome and mature young lion. When Simba and Nala meet again after all these years, he falls in love with her and Simba's life takes a dramatic turn. It is a truly great combination of drama, comedy, romance, life lessons, and musical songs in a Disney movie."
"Lions","30 March 2020","7/10","Great movie. Great sounds track and some very realistic fight scenes"
"Undeniably a Masterpiece","30 August 2010","10/10","Probably what bugs me about The Lion King is the character design of the lions. Basically, everything I find visually engaging about lions is all but left out of the character design. Beauty & the Beast and Aladdin both had far stronger character designs, as indeed did many previous Disney films centring around animals. It would, however, be foolish of me to fish for any other faults that are simply non-existent.The Lion King is a masterpiece. Good story? Check. A royal lion cub who's a bit on the spoiled side sees his world fall apart when his father dies in a wildebeest stampede. Tricked into thinking he was responsible, he flees and adopts a life of ease with the carefree duo Timon and Pumbaa.This is some epic stuff. Though I decided not to include The Lion King in my favourites list of animated movies, my breath is still taken away when Simbaa sees those wildebeest run down into the canyon. That whole scene is one of the most heartbreaking scenes of cinema I have ever seen. There are real highs and lows here, a quality that most of the old Disney movies sorely lacked (and this coming from a big fan).Another big plus is the music. The soundtrack goes the whole scale. When all is well in Simbaa's life, there is hopeful music echoing of the jungle and the savannah. Then things get darker and the music gets deeper and more epic than anyone who's not heard it can imagine. ""Be Prepared"" is excellent and rightfully scary as the following scene testifies. The stampede score is one of the most ground-shaking pieces of music I have ever heard. When that all gets too much, there's ""Hakuna Matata"", the ultimate anthem for carefree living, to soothe the soul. Personally, Elton John's original version of ""Can You Feel the Love Tonight"" (in the end credits) is the stronger of the two presented; I can hardly fight back tears every time I hear it. ""The Circle of Life"" set the tone for how movies should start and not for no reason. The whole audio part of this movie is a complete bullseye.The characters themselves, even if I really dislike most of the designs, are mostly very good. Scar is wickedly ambitious. Rafiki shows that wise characters can also be tremendously funny, and it's not for no reason that Timon and Pumbaa got their own show; they are wonderful. Equally great are the three hyenas. Then of course, there's Sazu (wonderfully voiced by Rowan Atkinson), the unfortunate bird who's the butt of the crown, no matter on which side of the family he's standing.With a stunning climax, soaring music and a roaring (sic), engaging story, The Lion King is a movie that hits every mark it needs right. It hits home with the audience and makes them feel for this world. It may not hit the mark with my aesthetic senses, but to pretend that the movie was lesser because of that would be foolish of me. The Lion King is a masterpiece, on par with the Beauty & the Beast."
"Not bad but not great.","28 April 2021","7/10","The Lion King wasn't really one of my favorite movies growing up, but I enjoyed it as a kid and you can't deny the great animation and great voice acting that still holds up. It's definitely a movie millions remember fondly of, and appreciate till this day."
"The Best Disney Movie EVER","8 July 2008","3/10","Out of all the Disney movies I've seen, The Lion King is one of the most remarkable films of all time. The story was touching, the characters were unbelievable, and the music was beautiful.The actors were chosen rightly for their characters & their personalities. Though the movie is rated G, some of the scenes my be too intense & disturbing for younger children. In this meaning, it is an outstanding movie, but in my opinion should be rated PG due to the fighting scenes and darkness of some death scenes. However, it's a great movie to share with the whole family. You'll laugh, you'll cry, you'll be amazed! It's a classic for years & years to come."
"Its all right...","2 September 2019","10/10","This is going to be an unpopular opinion, but I might as way say it - I enjoyed the remake of The Lion King (which I'll call LK2) more than the original (hereby called OG). Its possibly attributed to the fact that I saw the LK2 first, but even while watching the animated version, I felt it was really... choppy.Without the nostalgia goggles, as an objective viewing, its not that different from the remake. In fact, LK2 is more drawn out, with the story really taking its time to explore themes and characters. Compare this with the OG, which just bounces from scene-to-scene-to-scene without holding on long enough for anything to marinate. I suppose you could say that about most animated films, but once you have a live-action that actually explores more, its hard to go back.Here are a few things I did enjoy in LK2, which were missing in the OG:
The humor is better written, especially for Timon and Pumba. Most other lead characters have the same dialogue anyhow, so why bother comparing. The hyena antagonists are given more stronger plot threads as opposed to the OG,where they were just maniacally laughing. LK2 is also really beautifully shot; the photo-realism is a huge push in its favor.I will say, however, that the original music is way better. Songs like ""I just can't wait to be king"" and ""Be Prepared"" are bright and colorful,with such a unique charm, I found myself just pulled into the world. If the remake didn't reuse the original soundtrack, and focused on a more updated version, I feel it would have been a better film.I'll probably never see either of these films until I have kids, but I'm a little more inclined to choose the live-action story. Though the OG would have been amazing in its time, its definitely a kids movie going forward, as opposed to a more general-audience film."
